"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp43","The Wildlife Information Centre","","Records provided by The Wildlife Information Centre, accessed through NBN Atlas website.","","For more information: email info@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dp43","","","","1"
"dp0","Royal Society for the Protection of Birds","","Records provided by Royal Society for the Protection of Birds, accessed through NBN Atlas website.","","For more information: email Dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dp0","","","","4"
"dp2","Scottish Wildlife Trust","","Records provided by Scottish Wildlife Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp2","","","","176"
"dr2370","Birds (BTO/JNCC/RSPB partnership)","","Records provided by BTO, accessed through NBN Atlas website","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr2370","","","","98"
"dr1236","National Trust Species Records","doi:10.15468/opc6g1","National Trust ([Insert download year]). National Trust Species Records. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CC0","For more information:  https://registry.nbnatlas.org/public/show/dr1236","","","","1"
"dp154","NatureSpot","","Records provided by NatureSpot, accessed through NBN Atlas website.","","For more information: email info@naturespot.org.uk, or https://registry.nbnatlas.org/public/show/dp154","","","","2"
"dr872","City of Edinburgh Natural Heritage Service - General Public Records","doi:10.15468/mfkmtz","The Wildlife Information Centre ([Insert download year]). City of Edinburgh Natural Heritage Service - General Public Records. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information: email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr872","","","","1"
"dr478","RSPB Annual Reserve Avian Monitoring","doi:10.15468/ssn1l9","Royal Society for the Protection of Birds ([Insert download year]). RSPB Annual Reserve Avian Monitoring. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0)","For more information: email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr478","","","","4"
"dp211","Welsh Government","","Records provided by Welsh Government, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp211","","","","3"
"dr1524","Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Field-scale surveys for breeding yellowhammer","","Welsh Government ([Insert download year]). Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Field-scale surveys for breeding yellowhammer. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information: email Colin.Chapman@wales.gsi.gov.uk, or https://registry.nbnatlas.org/public/show/dr1524","","","","3"
"dp29","British Trust for Ornithology","","Records provided by British Trust for Ornithology, accessed through NBN Atlas website.","","For more information: email info@bto.org, or https://registry.nbnatlas.org/public/show/dp29","","","","98"
"dr765","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","doi:10.15468/a6snhl","Scottish Wildlife Trust ([Insert download year]). Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr765","","","","176"
"dp116","National Trust","","Records provided by National Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp116","","","","1"
"dr855","All taxa records for Leicestershire and Rutland","doi:10.15468/i46are","Records provided by All taxa records for Leicestershire and Rutland, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr855","","","","2"
