"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"fbbb28f5-a274-4ed7-adf7-c55d9a93af79","19742329","CC0","The Royal Society for the Protection of Birds","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","","","","2010","","","","","","NJ01","57.2","-3.6","7071.1","","RSPB trained staff and volunteers","","1","","","","","","Pair","","Accepted","HumanObservation","","RSPB Annual Reserve Avian Monitoring","dr478","Royal Society for the Protection of Birds","dp0","RSPB","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NJ","NJ01","","","United Kingdom","Scotland","alive"
"f6ffbb04-d5b0-4b9d-bdd8-081936c7dca1","2828","OGL","Welsh Government","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","","","","2010","","","","","","SH70","52.6","-3.8","7071.1","","","","","","","","","","","","Unconfirmed - plausible","HumanObservation","","Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Field-scale surveys for breeding yellowhammer","dr1524","Welsh Government","dp211","","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","SH","SH70","","","United Kingdom","Wales",""
"edbdb28a-8bd7-4042-b960-290b83373da9","19745245","CC0","The Royal Society for the Protection of Birds","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","","","","2010","","","","","","NH32","57.3","-4.7","7071.1","","RSPB trained staff and volunteers","","0","","","","","","Pair","","Accepted","HumanObservation","","RSPB Annual Reserve Avian Monitoring","dr478","Royal Society for the Protection of Birds","dp0","RSPB","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NH","NH32","","","United Kingdom","Scotland","not recorded"
"e86403f9-3add-4be5-8576-67b2e0dc7d54","2585","OGL","Welsh Government","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","","","","2010","","","","","","SH70","52.6","-3.9","7071.1","","","","","","","","","","","","Unconfirmed - plausible","HumanObservation","","Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Field-scale surveys for breeding yellowhammer","dr1524","Welsh Government","dp211","","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","SH","SH70","","","United Kingdom","Wales",""
"d8920041-a11e-4ec1-a578-525dff74cdaa","19746323","CC0","The Royal Society for the Protection of Birds","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","","","","2010","","","","","","NH70","57.1","-4.0","7071.1","","RSPB trained staff and volunteers","","1","","","","","","Pair","","Accepted","HumanObservation","","RSPB Annual Reserve Avian Monitoring","dr478","Royal Society for the Protection of Birds","dp0","RSPB","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NH","NH70","","","United Kingdom","Scotland","alive"
"559c8676-1e9b-408f-9144-97b641e198b6","19740214","CC0","The Royal Society for the Protection of Birds","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","","","","2010","","","","","","NO35","56.7","-3.0","7071.1","","RSPB trained staff and volunteers","","1","","","","","","Pair","","Accepted","HumanObservation","","RSPB Annual Reserve Avian Monitoring","dr478","Royal Society for the Protection of Birds","dp0","RSPB","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO35","","","United Kingdom","Scotland","alive"
"01be3f44-e8bc-4c34-a6aa-4043414a960c","2987","OGL","Welsh Government","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","","","","2010","","","","","","SH70","52.6","-3.8","7071.1","","","","","","","","","","","","Unconfirmed - plausible","HumanObservation","","Tir Cynnal and Tir Gofal Monitoring and Evaluation Programme: Field-scale surveys for breeding yellowhammer","dr1524","Welsh Government","dp211","","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","SH","SH70","","","United Kingdom","Wales",""
"ea573100-3a47-49c7-bb4f-0e124d5acd79","CI00001100004AQM","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-24","24","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"ba3a9d69-5f63-4d11-b10e-3ebad30db7bc","CI00001100004XVQ","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-23","23","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Female (Exact)","female","","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"987658a2-24ba-489d-8a4f-db074ae6f25f","CI00001100004ATD","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-29","29","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"94f0ad55-5c5a-4f72-b5d8-930c0f545802","CI00001100004ANT","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-20","20","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Juvenile (Exact)","","juvenile","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"5f61f20b-5191-4a9a-b83f-c8bb1d86550d","CI00001100004AQB","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-23","23","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"5cdf911b-79be-4d95-b462-a30cf66c91d8","CI00001100004AU4","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-31","31","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"47e53a38-4445-49e0-9526-a1d67ac46ded","CI00001100004AQZ","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-25","25","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"39dd59ab-3434-48ea-9c1c-d594cbe05ccf","CI00001100004ASW","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-28","28","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"36280b7a-d5ad-4748-87bf-2792ae10f844","CI00001100004AS2","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-27","27","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","3","","","","3 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"3350064b-4ea3-4815-b1b3-e4099231a61b","CI00001100004AOQ","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-21","21","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Juvenile (Exact)","","juvenile","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"29dacfbe-82e9-4475-b3c0-859637105276","CI00001100004ATK","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-03-30","30","03","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
